Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Secar cabelo mega hair,30,167,119,119,125,140,142,145,147,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tonalização de cabelo coloração ou tonalizante ,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tonalização de loiros coloração ou tonalizante ,60,419,299,299,314,352,358,364,370,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tonalização de mechas coloração ou tonalizante ,60,419,299,299,314,352,358,364,370,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara Joico + escova ,60,349,249,249,261,293,298,303,309,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara Kerastase + escova ,60,419,299,299,314,352,358,364,370,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara Keune + escova ,60,419,299,299,314,352,358,364,370,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara LOreal + escova ,60,349,249,249,261,293,298,303,309,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara Wella + escova ,60,349,249,249,261,293,298,303,309,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Tratamento capilar máscara genérica + escova ,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento colorimetria,600,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento corte de cabelo,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento de gestão de salão de beleza,1.200,6.999,4.999,4.999,5.249,5.879,5.984,6.089,6.194,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento de mechas,1.200,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento de mechas morena iluminada,1.200,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento escova,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento neutralização,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento penteados,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Maikel,,,,,,Cabeleireiro(a),Curso e treinamento tratamento capilar,240,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,BB glow,60,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,BB lips,60,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Brow lamination,90,363,259,259,272,305,310,315,321,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Brow lamination com aplicação de refectocil,90,405,289,289,303,340,346,352,358,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Design de sobrancelhas,60,125,89,89,93,105,107,108,110,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Design de sobrancelhas com aplicação de henna,60,195,139,139,146,163,166,169,172,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Design de sobrancelhas com aplicação de refectocil,60,209,149,149,156,175,178,181,185,Sim,20/12/2025
Vanessa,,,,,,Designer de Sobrancelhas ,Design de sobrancelhas estratégico,60,139,99,99,104,116,119,121,123,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem corporativa,120,489,349,349,366,410,418,425,432,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem debutante,120,699,499,499,524,587,597,608,618,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem dia a dia ,120,489,349,349,366,410,418,425,432,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem fotos e redes sociais ,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem natural glow,120,489,349,349,366,410,418,425,432,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem noturna,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem para eventos ,120,559,399,399,419,469,478,486,494,Sim,20/12/2025
Vanessa,Iohana,Cristiane ,,,,Maquiadora,Maquiagem para vídeos profissionais,120,699,499,499,524,587,597,608,618,Sim,20/12/2025
